scenario,description,snr_db,channel,coding,scramble,requested_modulation,effective_modulation,ofdm_enabled,diversity,ber,fer,text_match_rate,checksum_pass,sync_error_symbols,received_path
awgn-coded,Required baseline with repetition-3 coding.,0.0,awgn,repetition3,pn-xor,qpsk,qpsk,False,none,0.5209390862944162,1.0,0.0,False,0,results\experiments\awgn-coded\snr_0\received.txt
awgn-coded,Required baseline with repetition-3 coding.,3.0,awgn,repetition3,pn-xor,qpsk,qpsk,False,none,0.5184010152284264,1.0,0.0,False,0,results\experiments\awgn-coded\snr_3\received.txt
awgn-coded,Required baseline with repetition-3 coding.,6.0,awgn,repetition3,pn-xor,qpsk,qpsk,False,none,0.5285532994923858,1.0,0.0,False,0,results\experiments\awgn-coded\snr_6\received.txt
awgn-coded,Required baseline with repetition-3 coding.,9.0,awgn,repetition3,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\awgn-coded\snr_9\received.txt
awgn-coded,Required baseline with repetition-3 coding.,12.0,awgn,repetition3,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\awgn-coded\snr_12\received.txt
awgn-coded,Required baseline with repetition-3 coding.,15.0,awgn,repetition3,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\awgn-coded\snr_15\received.txt
awgn-coded,Required baseline with repetition-3 coding.,24.0,awgn,repetition3,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\awgn-coded\snr_24\received.txt
awgn-uncoded,Ablation study: disables FEC to show coding gain.,0.0,awgn,none,pn-xor,qpsk,qpsk,False,none,0.526829268292683,1.0,0.0,False,0,results\experiments\awgn-uncoded\snr_0\received.txt
awgn-uncoded,Ablation study: disables FEC to show coding gain.,3.0,awgn,none,pn-xor,qpsk,qpsk,False,none,0.5237804878048781,1.0,0.0,False,0,results\experiments\awgn-uncoded\snr_3\received.txt
awgn-uncoded,Ablation study: disables FEC to show coding gain.,6.0,awgn,none,pn-xor,qpsk,qpsk,False,none,0.5237804878048781,1.0,0.0,False,0,results\experiments\awgn-uncoded\snr_6\received.txt
awgn-uncoded,Ablation study: disables FEC to show coding gain.,9.0,awgn,none,pn-xor,qpsk,qpsk,False,none,0.0006476683937823834,1.0,0.0,False,0,results\experiments\awgn-uncoded\snr_9\received.txt
awgn-uncoded,Ablation study: disables FEC to show coding gain.,12.0,awgn,none,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\awgn-uncoded\snr_12\received.txt
